"Click to View More","Agency","Program","Data Category","Data Element Name","Data Element Definition","Data Type","Years Available"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Institution Name","Name of the Institution. Eg. Manchester, Three Rivers, etc.,",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Term of Matriculation","The semester during which the student ' matriculated' / 'declared a plan of study'.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Term Period","Data Extraction period during a term. 
First day of class - DAY1
Third week - 3DWK/CD
End of Term -EOT/ET
Audit - AUD
End of Year - EOY",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Permanent Country","The Country code in which the student was legally residing at the time of admission.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Permanent State","The state code in which the student was legally residing at the time of admission",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Permanent Town Code","The Town Tax code in which the student was legally residing at the time of admission",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Race Amer Indian Alaskan","A person having origins in any of the original peoples of North and South America (including Central America), and who maintains cultural identification through tribal affiliation or community attachment.
",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Race Asian","A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent. This area includes, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Race Black","A person having origins in any of the black racial groups of Africa.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Race Hawaiian Pacific","A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Race No Response","Race not mentioned",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Race Other","Race other than American Indian or Alaskan/Asian/Black/Hawaiian or Pacific Islander/White",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Race White","A person having origins in any of the original peoples of Europe, Middle East, or North Africa.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","SASID","State Assigned Student Identification Number",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Current State","Two letter state code of the student's current address.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Student PIDM","System assigned Unique Identifier for each student within an instituition.  PIDMs are unique for students across the community colleges but will replicate between the four state universities.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Student Type","Code of the Student type associated with the enrollment award level of a person at the beginning of a term.
1, R, D, 0, C, X, N, E
0 = CCP (TP) for spring only
R = Readmitted student
E = Non-credit 
1 = Secondary, Non Tech Prep
C = continuing
D = Transfer, w/wo credit
N - new, 1st time at any college

CC     CSU
C    =   C
D   =   T
N   =   F
R   =   R  (away for 2 yrs) 
1
0
X
E
           V (visiting)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Student Type Description","Student type associated with the enrollment award level of a person at the beginning of a term.
0 = CCP (TP) for spring only
R = Readmitted student
E = Non-credit 
1 = Secondary, Non Tech Prep
C = continuing
D = Transfer, w/wo credit
N - new, 1st time at any college
V = Visiting (CSU code only)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Term Code","The academic term for which the data apply. Format of termcode is 

6 digits

1st = Century where 0=1900's and 1 = 2000's.
2nd & 3rd = year
4th = term (1,2,3,4 where 1 = spring, 2 = summer, 3 = Fall, 4 = winter)
5th & 6th = the 2 digit college/Instituition code",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Current Town Code","The Town Tax code in which the student is currently residing.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Year of Birth","The year of an individual's birthdate",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Current Zip Code","Zip Code of the student's current address.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Term","Term Description","Term Description. Eg. SPRG95",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Term","Term Record Effective Date","Effective date of record",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Term","Term in Epoch","The field 'Term in Epoch' provides a sequencial numbering of terms starting with the Spring term of 1995 and counting up one for each subsequent term: spring, summer, fall, winter.  'Term_in_Epoch' =  1 = Spring of 1995, Ex. spring 95 = 1, spring 1996 = 5, spring 2013 = 73.  If a school does not utilize a particular term - such as winter, that number is skipped for that institution.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Term","Term Period Description","Description of the extract time. Eg. Census Date
CSU                                          CC
3DWK = Third Week;        CD = Census Date
EOT = End of Term;            ET = End Term
Day1= First day of class   
EOY = End of Year, no match on CC
AUD - Audit",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","NSC Transfer College","Transfer College Record Effective Date","Effective start date of the record as reported by the National Student Clearinghouse (NSC)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","NSC Transfer College","Transfer college Record Expiration Date","The end date of the recordas reported by the National Student Clearinghouse (NSC)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","NSC Transfer College","NSC Other College Name - IPEDS","As presented in record from the National Student Clearinghouse (NSC), this is the Institution name used for IPEDS from the National Center for Education Statistics (NCES)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","NSC Transfer College","NSC Other College Name - NSC","As presented in record from the National Student Clearinghouse (NSC), Institution name from the NSC",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","NSC Transfer College","NSC Other College Unit ID - FICE","IPEDS Unit ID for institutions as reported by the National Student Clearinghouse (NSC)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","NSC Transfer","NSC Enrollment at other college - Begin Date","As presented in record from the National Student Clearinghouse (NSC), this is the start date of the student's enrollment in the transfer institution.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","NSC Transfer","NSC Enrollment at other college - End Date","As presented in record from the National Student Clearinghouse (NSC), this is the end date of the student's enrollment in the transfer institution.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Connecticut State Universities","Academic Summary","Current Attempted Academic Credits","Number of academic credits for which student is enrolled in the current term. (Syrstdn_Cur_Academic_Credits)",NA,"2009 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Connecticut State Universities","Academic Summary","Current Attempted Total Credits","The number of hours a student registers for at the beginning of the term.  Total hours attempted during the semester including developmental hours.",NA,"2009 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Connecticut State Universities","Academic Summary","Enrollment Status","Full-time or part-time.  Based on BOT Resolution 03-05, a full-time undergraduate student is one who is enrolled for twelve or more credits or is approved underload. A full-time graduate student is one who is enrolled for 9 or more credits or is approved underload.
Full-time
Part-time",NA,"2009 to 2021"
